Name,ATS,Slug,URL,AddedAt,Via
"AiFi","lever","aifi","","2026-09-02T15:14:59.314Z","seed"
"AKQA","greenhouse","akqa","","2026-09-02T15:14:59.314Z","seed"
"Alo Yoga","greenhouse","aloyoga","","2026-09-02T15:14:59.314Z","seed"
"Away","ashby","away","","2026-09-02T15:14:59.314Z","seed"
"Bellroy","greenhouse","bellroy","","2026-09-02T15:14:59.314Z","seed"
"Bloomon","lever","bloomon","","2026-09-02T15:14:59.314Z","seed"
"Blue Bottle Coffee","lever","bluebottlecoffee","","2026-09-02T15:14:59.314Z","seed"
"Bombas","greenhouse","bombas","","2026-09-02T15:14:59.314Z","seed"
"Brooklinen","ashby","brooklinen","","2026-09-02T15:14:59.314Z","seed"
"Bubble Skincare","greenhouse","bubbleskincare","","2026-09-02T15:14:59.314Z","seed"
"Buck Mason","lever","buckmason","","2026-09-02T15:14:59.314Z","seed"
"Business of Fashion","greenhouse","businessoffashion","","2026-09-02T15:14:59.314Z","seed"
"Butternut Box","greenhouse","butternutbox","","2026-09-02T15:14:59.314Z","seed"
"Cannondale","greenhouse","cannondale","","2026-09-02T15:14:59.314Z","seed"
"Casetify","greenhouse","casetify","","2026-09-02T15:14:59.314Z","seed"
"Chrome Industries","greenhouse","chromeindustries","","2026-09-02T15:14:59.314Z","seed"
"Convene","greenhouse","convene","","2026-09-02T15:14:59.314Z","seed"
"Cudoni","greenhouse","cudoni","","2026-09-02T15:14:59.314Z","seed"
"Cuyana","greenhouse","cuyana","","2026-09-02T15:14:59.314Z","seed"
"Design Bridge","greenhouse","designbridge","","2026-09-02T15:14:59.314Z","seed"
"Dollar Shave Club","greenhouse","dollarshaveclub","","2026-09-02T15:14:59.314Z","seed"
"e.l.f. Beauty","lever","elfbeauty","","2026-09-02T15:14:59.314Z","seed"
"Eight Sleep","ashby","eightsleep","","2026-09-02T15:14:59.314Z","seed"
"Emma Sleep","lever","emma-sleep","","2026-09-02T15:14:59.314Z","seed"
"Everlane","greenhouse","everlane","","2026-09-02T15:14:59.314Z","seed"
"Faherty Brand","greenhouse","fahertybrand","","2026-09-02T15:14:59.314Z","seed"
"Faire","greenhouse","faire","","2026-09-02T15:14:59.314Z","seed"
